file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p3.json,gp15_b0_rot90,-31.969130212196,-32.027612406873,-26.888192482958,-5.068020545683,-8.105648935413617,-36.6981034995682,-42.80375243498182,5.7015032181779346e-11
tb_lite_results_shiftn0p3.json,gp15_b0_rot0,-31.968974134225,-32.027482865672,-26.888192482958,-5.068020545683,-8.007708603909984,-36.71475556157474,-42.72246416548472,4.97055237118661e-11
tb_lite_results_shiftn0p05.json,gp317_b0_rot90,-31.957631457202,-32.049520461177,-26.888192482958,-5.068020545683,-0.8900766878852082,-57.661176995349386,-56.55125368323459,0.6807356920302825
tb_lite_results_shiftn0p3.json,gp15_b0_rot270,-31.968993003955,-32.027441437599,-26.888192482958,-5.068020545683,-8.019549529311915,-36.67691814751453,-42.696467676826444,4.7571746293626793e-11
tb_lite_results_shiftn0p05.json,gp480_b0_rot180,-31.957638864108,-32.048805566587,-26.888192482958,-5.068020545683,-0.8947245880604717,-57.20792630589519,-56.10265089395566,0.3192643078154252
---,---,---,---,---,---,---,---,---,-56.40803082210111
