file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p1.json,gp227_b0_rot90,-19.393981463028,-19.496694005563,-14.315087890015,-5.068020545683,-6.822922506819686,-64.45304485359668,-69.27596736041636,0.20169579115004124
tb_lite_results_shiftn0p05.json,gp227_b0_rot90,-19.393985585122,-19.496695636325,-14.315087890015,-5.068020545683,-6.825509157904314,-64.45148152034398,-69.2769906782483,0.20204445361177217
tb_lite_results_shiftn0p1.json,gp392_b0_rot270,-19.394075362682,-19.496679011533,-14.315087890015,-5.068020545683,-6.881845384802043,-64.38471308684316,-69.26655847164521,0.1985180825925179
tb_lite_results_shiftn0p15.json,gp227_b0_rot90,-19.393993714124,-19.496628176377,-14.315087890015,-5.068020545683,-6.8306101798211545,-64.40404877391805,-69.2346589537392,0.1881124592457669
tb_lite_results_shiftn0p1.json,gp405_b0_rot270,-19.394020099237,-19.496730431996,-14.315087890015,-5.068020545683,-6.847167075694264,-64.45165819926677,-69.29882527496103,0.20962921339990181
---,---,---,---,---,---,---,---,---,-69.2713273422288
