file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p2.json,gp719_b0_rot270,-24.510513120412,-24.607361554235,-19.429337626143,-5.068020545683,-8.254848632252882,-60.77326385983594,-67.02811249208882,0.2966038475524979
tb_lite_results_shiftn0p2.json,gp719_b0_rot0,-24.510310664364,-24.606476282474,-19.429337626143,-5.068020545683,-8.127805640027852,-60.34479085458779,-66.47259649461564,0.11613969897406216
tb_lite_results_shiftn0p15.json,gp719_b0_rot270,-24.510680997812,-24.606984158665,-19.429337626143,-5.068020545683,-8.360193211648935,-60.43110016370577,-66.79129337535471,0.19887818568969146
tb_lite_results_shiftn0p15.json,gp719_b0_rot0,-24.510218897066,-24.606341154319,-19.429337626143,-5.068020545683,-8.07022083462795,-60.31758152657309,-66.38780236120104,0.10065286934176902
tb_lite_results_shiftn0p25.json,gp719_b0_rot270,-24.510665240495,-24.607332859631,-19.429337626143,-5.068020545683,-8.350305353416914,-60.65980101641186,-67.01010636982878,0.2877253984419794
---,---,---,---,---,---,---,---,---,-66.84686700445016
