file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p25.json,gp660_b0_rot180,-22.375998083268,-22.479861100218,-17.286224261856,-5.068020545683,-13.650376299430725,-65.17497790327594,-76.82535420270668,0.30723394381095404
tb_lite_results_shiftn0p25.json,gp594_b0_rot90,-22.375720147905,-22.479638535527,-17.286224261856,-5.068020545683,-13.475969357728827,-65.20972349829277,-76.6856928560216,0.24271505201823487
tb_lite_results_shiftn0p2.json,gp660_b0_rot180,-22.376026897417,-22.478975920114,-17.286224261856,-5.068020545683,-13.668457437253979,-64.60143828357207,-76.26989572082604,0.12031375201110829
tb_lite_results_shiftn0p25.json,gp616_b0_rot0,-22.37623502064,-22.478911850141,-17.286224261856,-5.068020545683,-13.799056632795772,-64.43063460334308,-76.22969123613885,0.11242041300227226
tb_lite_results_shiftn0p2.json,gp594_b0_rot90,-22.37578741985,-22.479534173048,-17.286224261856,-5.068020545683,-13.518183108663486,-65.10202135252328,-76.62020446118677,0.21731683915743055
---,---,---,---,---,---,---,---,---,-76.61307982754684
