file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p1.json,gp64_b0_rot90,-9.041716715483,-9.141450165879,-3.962500670003,-5.068020545683,-7.02527688211572,-62.58363772454364,-67.60891460665937,0.2705946785361556
tb_lite_results_shiftn0p1.json,gp105_b0_rot270,-9.040658997527,-9.14058266055,-3.962500670003,-5.068020545683,-6.361549345264211,-62.702997859900016,-67.06454720516423,0.10796802209179304
tb_lite_results_shiftn0p1.json,gp88_b0_rot180,-9.041709704602,-9.141064780692,-3.962500670003,-5.068020545683,-7.020877491190729,-62.346204442159355,-67.36708193335008,0.1799097324847438
tb_lite_results_shiftn0p1.json,gp60_b0_rot270,-9.040672115299,-9.141117204314,-3.962500670003,-5.068020545683,-6.3697808652537224,-63.03019736271387,-67.3999782279676,0.19018129968062733
tb_lite_results_shiftn0p1.json,gp71_b0_rot0,-9.041706154273,-9.141380493948,-3.962500670003,-5.068020545683,-7.018649627789354,-62.546545215120375,-67.56519484290973,0.2513462672066802
---,---,---,---,---,---,---,---,---,-67.45590769199575
