file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p1.json,gp769_b0_rot180,-34.503562396258,-34.58719428701,-29.431124116703,-5.068020545683,-2.7721677642835636,-52.47976413389827,-53.25193189818184,0.11863988243494468
tb_lite_results_shiftn0p15.json,gp769_b0_rot180,-34.503248235649,-34.58740102558,-29.431124116703,-5.068020545683,-2.5750291546898705,-52.80663305681422,-53.38166221150409,0.14768068387712163
tb_lite_results_shiftn0p05.json,gp769_b0_rot180,-34.503300505016,-34.58746112473,-29.431124116958,-5.068020545683,-2.6078284928943605,-52.811546316111254,-53.41937480900562,0.1573864076912142
tb_lite_results_shiftn0p1.json,gp799_b0_rot180,-34.503059153459,-34.588450943395,-29.431124116703,-5.068020545683,-2.456378378726609,-53.58411671095204,-54.04049508967865,0.44900542088778606
tb_lite_results_shiftn0p15.json,gp799_b0_rot180,-34.503404147744,-34.587260716528,-29.431124116703,-5.068020545683,-2.6728653975133776,-52.62075162107923,-53.293617018592606,0.12728760510893347
---,---,---,---,---,---,---,---,---,-53.65681894464118
