file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p2.json,gp664_b0_rot270,-23.989379126099,-24.074952493422,-18.909017449288,-5.068020545683,-7.744170852999145,-53.69805815548877,-59.44222900848792,0.15840045877282147
tb_lite_results_shiftn0p15.json,gp664_b0_rot270,-23.98884420107,-24.07477997405,-18.909017449288,-5.068020545683,-7.408500582975764,-53.92547096690744,-59.3339715498832,0.1319481060770738
tb_lite_results_shiftn0p2.json,gp712_b0_rot180,-23.989353296103,-24.075539725184,-18.909017449288,-5.068020545683,-7.727962298040377,-54.08275992618905,-59.81072222422942,0.29502842322091477
tb_lite_results_shiftn0p25.json,gp664_b0_rot270,-23.989836358346,-24.075379700662,-18.909017449288,-5.068020545683,-8.031088203082568,-53.67921719337135,-59.71030539645392,0.2490335197425314
tb_lite_results_shiftn0p15.json,gp707_b0_rot0,-23.98882245164,-24.074994401484,-18.909017449288,-5.068020545683,-7.3948526199075,-54.073674074657,-59.4685266945645,0.16558949218665855
---,---,---,---,---,---,---,---,---,-59.60777524120227
