file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_original.json,gp107_b0_rot90,-9.423612982271,-9.534931693328,-4.348415787523,-5.068020545683,-4.503411878129807,-69.85349305666631,-72.35690493479612,0.20050246415708226
tb_lite_results_original.json,gp103_b0_rot180,-9.423612641963,-9.534928736366,-4.348415787523,-5.068020545683,-4.503198331796755,-69.85185108273188,-72.35504941452864,0.19987552087493796
tb_lite_results_original.json,gp102_b0_rot0,-9.423612641969,-9.534928688544,-4.348415787523,-5.068020545683,-4.503198335561029,-69.85182107023185,-72.35501940579287,0.199865397646864
tb_lite_results_original.json,gp104_b0_rot0,-9.423612641964,-9.534928741029,-4.348415787523,-5.068020545683,-4.50319833242432,-69.8518540081792,-72.35505234060352,0.19987650799238765
tb_lite_results_original.json,gp105_b0_rot180,-9.423612641955,-9.534928758041,-4.348415787523,-5.068020545683,-4.5031983267762365,-69.85186468900972,-72.35506301578596,0.19988010932872807
---,---,---,---,---,---,---,---,---,-72.35541875668109
