grid_point,pose,E_explicit_kcal,E_imp_cross_kcal,E_corrected_kcal,E_int_corrected_kcal
gp8,b0_rot270,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp8,b1_rot0,-5886.71383341226,-14.480814576245752,-5872.233018836015,27.98721139652389
gp8,b1_rot90,-5886.713833408242,-14.480814576245752,-5872.233018831997,27.987211400542037
gp8,b1_rot180,-5886.713833369884,-14.480814576245752,-5872.233018793639,27.987211438899976
gp8,b1_rot270,-5886.713833376696,-14.480814576245752,-5872.233018800451,27.98721143208786
gp9,b0_rot0,-5909.628700614041,-4.961993391691552,-5904.666707222349,-4.446476989810435
gp9,b0_rot90,-5909.62870062006,-4.961993391691552,-5904.666707228368,-4.446476995829471
gp9,b0_rot180,-5909.62870062006,-4.961993391691552,-5904.666707228368,-4.446476995829471
gp9,b0_rot270,-5909.628700614042,-4.961993391691552,-5904.66670722235,-4.4464769898113445
gp9,b1_rot0,-5886.71383340056,-14.480814576245747,-5872.233018824315,27.98721140822363
gp9,b1_rot90,-5886.713833366002,-14.480814576245747,-5872.233018789757,27.9872114427817
gp9,b1_rot180,-5886.713833384325,-14.480814576245747,-5872.23301880808,27.98721142445902
gp9,b1_rot270,-5886.713833416199,-14.480814576245747,-5872.233018839954,27.987211392584868
gp10,b0_rot0,-5909.628700614042,-4.961993391691552,-5904.66670722235,-4.4464769898113445
gp10,b0_rot90,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp10,b0_rot180,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp10,b0_rot270,-5909.628700614041,-4.961993391691552,-5904.666707222349,-4.446476989810435
gp10,b1_rot0,-5886.713833365096,-14.480814576245747,-5872.233018788851,27.987211443687556
gp10,b1_rot90,-5886.713833389293,-14.480814576245747,-5872.233018813047,27.98721141949136
gp10,b1_rot180,-5886.713833417421,-14.480814576245747,-5872.233018841175,27.987211391363417
gp10,b1_rot270,-5886.713833395276,-14.480814576245747,-5872.233018819031,27.987211413507794
gp11,b0_rot0,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp11,b0_rot90,-5909.628700614042,-4.961993391691552,-5904.66670722235,-4.4464769898113445
gp11,b0_rot180,-5909.628700614041,-4.961993391691552,-5904.666707222349,-4.446476989810435
gp11,b0_rot270,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp11,b1_rot0,-5886.713833417658,-14.480814576245747,-5872.233018841413,27.98721139112604
gp11,b1_rot90,-5886.713833388863,-14.480814576245747,-5872.233018812618,27.98721141992064
gp11,b1_rot180,-5886.713833365426,-14.480814576245747,-5872.23301878918,27.98721144335832
gp11,b1_rot270,-5886.713833395135,-14.480814576245747,-5872.23301881889,27.987211413648765
gp12,b0_rot0,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp12,b0_rot90,-5909.62870062006,-4.961993391691552,-5904.666707228368,-4.446476995829471
gp12,b0_rot180,-5909.628700614042,-4.961993391691552,-5904.66670722235,-4.4464769898113445
gp12,b0_rot270,-5909.628700614041,-4.961993391691552,-5904.666707222349,-4.446476989810435
gp12,b1_rot0,-5886.713833414793,-14.480814576245747,-5872.233018838548,27.987211393990947
gp12,b1_rot90,-5886.713833404052,-14.480814576245747,-5872.2330188278065,27.98721140473208
gp12,b1_rot180,-5886.713833367316,-14.480814576245747,-5872.23301879107,27.98721144146839
gp12,b1_rot270,-5886.713833380933,-14.480814576245747,-5872.233018804687,27.987211427851435
gp13,b0_rot0,-5909.628700614041,-4.961993391691552,-5904.666707222349,-4.446476989810435
gp13,b0_rot90,-5909.628700614042,-4.961993391691552,-5904.66670722235,-4.4464769898113445
gp13,b0_rot180,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp13,b0_rot270,-5909.628700620058,-4.961993391691552,-5904.666707228366,-4.446476995827652
gp13,b1_rot0,-5886.713833416317,-14.480814576245747,-5872.233018840072,27.987211392466634
gp13,b1_rot90,-5886.713833400201,-14.480814576245747,-5872.233018823956,27.98721140858288
gp13,b1_rot180,-5886.7138333659,-14.480814576245747,-5872.233018789655,27.987211442883563
gp13,b1_rot270,-5886.713833384666,-14.480814576245747,-5872.233018808421,27.98721142411796
gp14,b0_rot0,-5909.628700626496,-4.961993388616073,-5904.66670723788,-4.446477005340967
gp14,b0_rot90,-5909.628700626363,-4.961993388616073,-5904.666707237747,-4.44647700520818
gp14,b0_rot180,-5909.628700625291,-4.961993388616078,-5904.6667072366745,-4.446477004135886
gp14,b0_rot270,-5909.628700623536,-4.961993388616073,-5904.66670723492,-4.446477002381471
gp14,b1_rot0,-5886.713833485049,-14.480814572486732,-5872.233018912562,27.987211319976268
gp14,b1_rot90,-5886.713833480514,-14.480814572486732,-5872.233018908028,27.98721132451101
gp14,b1_rot180,-5886.713833473078,-14.480814572486732,-5872.233018900592,27.987211331947037
gp14,b1_rot270,-5886.713833482305,-14.480814572486732,-5872.233018909818,27.987211322720214
gp15,b0_rot0,-5909.628700626212,-4.961993388616078,-5904.666707237596,-4.446477005057204
gp15,b0_rot90,-5909.628700624896,-4.961993388616073,-5904.66670723628,-4.446477003741165
gp15,b0_rot180,-5909.628700623431,-4.961993388616082,-5904.666707234815,-4.446477002275969
gp15,b0_rot270,-5909.62870062632,-4.961993388616073,-5904.666707237704,-4.446477005165434
gp15,b1_rot0,-5886.713833484973,-14.480814572486732,-5872.233018912487,27.987211320051756
gp15,b1_rot90,-5886.713833484587,-14.480814572486732,-5872.2330189121,27.98721132043829
gp15,b1_rot180,-5886.713833488306,-14.480814572486732,-5872.233018915819,27.987211316719367
gp15,b1_rot270,-5886.713833487418,-14.480814572486732,-5872.233018914932,27.987211317607034
gp16,b0_rot0,-5909.6287006252915,-4.961993388616073,-5904.666707236675,-4.446477004136796
gp16,b0_rot90,-5909.628700626365,-4.961993388616073,-5904.666707237749,-4.446477005209999
gp16,b0_rot180,-5909.628700626494,-4.961993388616082,-5904.666707237878,-4.446477005339148
gp16,b0_rot270,-5909.628700623539,-4.961993388616073,-5904.666707234923,-4.446477002384199
gp16,b1_rot0,-5886.71383348561,-14.480814572486732,-5872.2330189131235,27.98721131941511
gp16,b1_rot90,-5886.7138334874935,-14.480814572486732,-5872.233018915007,27.987211317531546
gp16,b1_rot180,-5886.713833487035,-14.480814572486732,-5872.233018914549,27.98721131798993
gp16,b1_rot270,-5886.713833484662,-14.480814572486732,-5872.233018912176,27.987211320362803
gp17,b0_rot0,-5909.62870062343,-4.961993388616078,-5904.666707234814,-4.44647700227506
gp17,b0_rot90,-5909.628700624898,-4.961993388616073,-5904.666707236282,-4.446477003742984
gp17,b0_rot180,-5909.628700626216,-4.961993388616078,-5904.6667072376,-4.446477005061752
gp17,b0_rot270,-5909.62870062632,-4.961993388616078,-5904.666707237704,-4.446477005165434
gp17,b1_rot0,-5886.713833473578,-14.480814572486722,-5872.233018901092,27.987211331446815
gp17,b1_rot90,-5886.713833482955,-14.480814572486722,-5872.233018910469,27.987211322069925
gp17,b1_rot180,-5886.713833485057,-14.480814572486722,-5872.2330189125705,27.987211319968083
gp17,b1_rot270,-5886.713833480291,-14.480814572486722,-5872.233018907805,27.987211324733835
gp18,b0_rot0,-5909.628700626496,-4.961993388616073,-5904.66670723788,-4.446477005340967
gp18,b0_rot90,-5909.628700623537,-4.961993388616073,-5904.666707234921,-4.44647700238238
gp18,b0_rot180,-5909.6287006252915,-4.961993388616078,-5904.666707236675,-4.446477004136796
gp18,b0_rot270,-5909.628700626359,-4.961993388616073,-5904.666707237743,-4.446477005204542
gp18,b1_rot0,-5886.71383347333,-14.480814572486732,-5872.2330189008435,27.987211331695107
gp18,b1_rot90,-5886.713833481958,-14.480814572486722,-5872.233018909472,27.98721132306673
gp18,b1_rot180,-5886.713833485272,-14.480814572486732,-5872.233018912785,27.987211319753442
gp18,b1_rot270,-5886.7138334810925,-14.480814572486732,-5872.233018908606,27.98721132393257
gp19,b0_rot0,-5909.628700626212,-4.961993388616078,-5904.666707237596,-4.446477005057204
gp19,b0_rot90,-5909.628700626324,-4.961993388616078,-5904.666707237708,-4.446477005169072
gp19,b0_rot180,-5909.628700623434,-4.961993388616082,-5904.666707234818,-4.446477002279607
gp19,b0_rot270,-5909.6287006249,-4.961993388616078,-5904.666707236284,-4.446477003745713
gp19,b1_rot0,-5886.713833482318,-14.480814572486732,-5872.233018909831,27.98721132270748
gp19,b1_rot90,-5886.713833474814,-14.480814572486732,-5872.233018902328,27.987211330210812
gp19,b1_rot180,-5886.713833482048,-14.480814572486732,-5872.233018909562,27.98721132297669
gp19,b1_rot270,-5886.7138334858255,-14.480814572486732,-5872.233018913339,27.98721131919956
gp20,b0_rot0,-5909.6287006252915,-4.961993388616073,-5904.666707236675,-4.446477004136796
gp20,b0_rot90,-5909.628700623538,-4.961993388616073,-5904.666707234922,-4.44647700238329
gp20,b0_rot180,-5909.6287006264965,-4.961993388616078,-5904.6667072378805,-4.446477005341876
gp20,b0_rot270,-5909.628700626363,-4.961993388616073,-5904.666707237747,-4.44647700520818
gp20,b1_rot0,-5886.713833482361,-14.480814572486732,-5872.233018909875,27.987211322663825
gp20,b1_rot90,-5886.71383348504,-14.480814572486732,-5872.233018912553,27.987211319985363
gp20,b1_rot180,-5886.713833480474,-14.480814572486732,-5872.233018907988,27.987211324551026
gp20,b1_rot270,-5886.713833473097,-14.480814572486732,-5872.233018900611,27.987211331927938
gp21,b0_rot0,-5909.62870062343,-4.961993388616078,-5904.666707234814,-4.44647700227506
gp21,b0_rot90,-5909.628700626319,-4.961993388616073,-5904.666707237703,-4.446477005164525
gp21,b0_rot180,-5909.62870062622,-4.961993388616078,-5904.666707237604,-4.44647700506539
gp21,b0_rot270,-5909.628700624898,-4.961993388616073,-5904.666707236282,-4.446477003742984
gp21,b1_rot0,-5886.713833485331,-14.480814572486732,-5872.233018912844,27.987211319694325
gp21,b1_rot90,-5886.713833481221,-14.480814572486722,-5872.233018908734,27.98721132380433
gp21,b1_rot180,-5886.713833473445,-14.480814572486732,-5872.233018900959,27.9872113315796
gp21,b1_rot270,-5886.7138334819365,-14.480814572486732,-5872.23301890945,27.98721132308856
gp22,b0_rot0,-5909.628700626365,-4.961993388616073,-5904.666707237749,-4.446477005209999
gp22,b0_rot90,-5909.628700626497,-4.961993388616078,-5904.666707237881,-4.446477005342786
gp22,b0_rot180,-5909.628700623537,-4.961993388616082,-5904.666707234921,-4.44647700238238
gp22,b0_rot270,-5909.6287006252915,-4.961993388616073,-5904.666707236675,-4.446477004136796
gp22,b1_rot0,-5886.713833486176,-14.480814572486732,-5872.233018913689,27.987211318849404
gp22,b1_rot90,-5886.713833486324,-14.480814572486732,-5872.233018913837,27.987211318701156
gp22,b1_rot180,-5886.713833487373,-14.480814572486732,-5872.233018914887,27.9872113176516
gp22,b1_rot270,-5886.713833487279,-14.480814572486732,-5872.233018914792,27.987211317746187
gp23,b0_rot0,-5909.628700624901,-4.961993388616073,-5904.666707236285,-4.446477003746622
gp23,b0_rot90,-5909.628700626217,-4.961993388616073,-5904.666707237601,-4.446477005062661
gp23,b0_rot180,-5909.628700626319,-4.961993388616082,-5904.666707237703,-4.446477005164525
gp23,b0_rot270,-5909.628700623434,-4.961993388616073,-5904.666707234818,-4.446477002279607
gp23,b1_rot0,-5886.713833486088,-14.480814572486732,-5872.233018913602,27.987211318936716
gp23,b1_rot90,-5886.713833481882,-14.480814572486722,-5872.2330189093955,27.98721132314313
gp23,b1_rot180,-5886.713833484393,-14.480814572486722,-5872.233018911907,27.987211320632014
gp23,b1_rot270,-5886.713833487313,-14.480814572486722,-5872.233018914827,27.987211317711626
gp24,b0_rot0,-5909.628700623537,-4.961993388616073,-5904.666707234921,-4.44647700238238
gp24,b0_rot90,-5909.628700626498,-4.961993388616073,-5904.666707237882,-4.446477005343695
gp24,b0_rot180,-5909.628700626361,-4.961993388616082,-5904.666707237745,-4.446477005206361
gp24,b0_rot270,-5909.628700625292,-4.961993388616073,-5904.666707236676,-4.446477004137705
gp24,b1_rot0,-5886.71383347971,-14.480814572486732,-5872.233018907224,27.987211325315002
gp24,b1_rot90,-5886.71383348354,-14.480814572486722,-5872.2330189110535,27.98721132148512
gp24,b1_rot180,-5886.7138334869915,-14.480814572486732,-5872.233018914505,27.987211318033587
gp24,b1_rot270,-5886.713833485116,-14.480814572486722,-5872.23301891263,27.987211319908965
gp25,b0_rot0,-5909.628700626321,-4.961993388616073,-5904.666707237705,-4.446477005166344
gp25,b0_rot90,-5909.6287006262155,-4.961993388616073,-5904.666707237599,-4.446477005060842
gp25,b0_rot180,-5909.628700624898,-4.961993388616082,-5904.666707236282,-4.446477003742984
gp25,b0_rot270,-5909.628700623432,-4.961993388616073,-5904.666707234816,-4.446477002277788
gp25,b1_rot0,-5886.713833487177,-14.480814572486732,-5872.233018914691,27.98721131784805
gp25,b1_rot90,-5886.713833483814,-14.480814572486732,-5872.233018911327,27.987211321211362
gp25,b1_rot180,-5886.713833482714,-14.480814572486732,-5872.233018910228,27.98721132231094
gp25,b1_rot270,-5886.713833487848,-14.480814572486732,-5872.233018915362,27.987211317176843
gp26,b0_rot0,-5909.628700626365,-4.961993388616073,-5904.666707237749,-4.446477005209999
gp26,b0_rot90,-5909.628700625293,-4.961993388616073,-5904.666707236677,-4.446477004138615
gp26,b0_rot180,-5909.628700623536,-4.961993388616082,-5904.66670723492,-4.446477002381471
gp26,b0_rot270,-5909.628700626499,-4.961993388616073,-5904.666707237883,-4.4464770053446045
gp26,b1_rot0,-5886.713833485057,-14.480814572486732,-5872.2330189125705,27.987211319968083
gp26,b1_rot90,-5886.713833487462,-14.480814572486722,-5872.233018914975,27.98721131756338
gp26,b1_rot180,-5886.71383348667,-14.480814572486722,-5872.233018914184,27.98721131835464
gp26,b1_rot270,-5886.71383348344,-14.480814572486732,-5872.233018910953,27.987211321585164
gp27,b0_rot0,-5909.628700624901,-4.961993388616073,-5904.666707236285,-4.446477003746622
gp27,b0_rot90,-5909.628700623432,-4.961993388616073,-5904.666707234816,-4.446477002277788
gp27,b0_rot180,-5909.628700626321,-4.961993388616082,-5904.666707237705,-4.446477005166344
gp27,b0_rot270,-5909.628700626219,-4.961993388616073,-5904.666707237603,-4.44647700506448
gp27,b1_rot0,-5886.713833486793,-14.480814572486722,-5872.233018914307,27.987211318231857
gp27,b1_rot90,-5886.7138334845995,-14.480814572486732,-5872.233018912113,27.98721132042556
gp27,b1_rot180,-5886.713833478685,-14.480814572486732,-5872.233018906199,27.987211326340002
gp27,b1_rot270,-5886.713833483162,-14.480814572486732,-5872.233018910675,27.98721132186347
gp28,b0_rot0,-5909.628700623537,-4.961993388616073,-5904.666707234921,-4.44647700238238
gp28,b0_rot90,-5909.628700625292,-4.961993388616073,-5904.666707236676,-4.446477004137705
gp28,b0_rot180,-5909.628700626365,-4.961993388616082,-5904.666707237749,-4.446477005209999
gp28,b0_rot270,-5909.6287006264965,-4.961993388616073,-5904.6667072378805,-4.446477005341876
gp28,b1_rot0,-5886.7138334863685,-14.480814572486732,-5872.233018913882,27.98721131865659
gp28,b1_rot90,-5886.713833488175,-14.480814572486722,-5872.233018915688,27.987211316850335
gp28,b1_rot180,-5886.713833487347,-14.480814572486732,-5872.233018914861,27.987211317677975
gp28,b1_rot270,-5886.713833486266,-14.480814572486732,-5872.233018913779,27.987211318759364
gp29,b0_rot0,-5909.628700626321,-4.961993388616073,-5904.666707237705,-4.446477005166344
gp29,b0_rot90,-5909.628700623433,-4.961993388616073,-5904.666707234817,-4.446477002278698
gp29,b0_rot180,-5909.628700624899,-4.961993388616082,-5904.6667072362825,-4.446477003743894
gp29,b0_rot270,-5909.6287006262155,-4.961993388616073,-5904.666707237599,-4.446477005060842
gp29,b1_rot0,-5886.713833480535,-14.480814572486732,-5872.2330189080485,27.98721132449009
gp29,b1_rot90,-5886.7138334752335,-14.480814572486732,-5872.233018902747,27.987211329791535
gp29,b1_rot180,-5886.713833484181,-14.480814572486732,-5872.233018911695,27.987211320843926
gp29,b1_rot270,-5886.713833485416,-14.480814572486732,-5872.23301891293,27.987211319608832
gp30,b0_rot0,-5909.628700623618,-4.961993388616082,-5904.666707235002,-4.446477002463325
gp30,b0_rot90,-5909.628700623615,-4.961993388616082,-5904.666707234999,-4.446477002460597
gp30,b0_rot180,-5909.628700625905,-4.961993388616082,-5904.666707237289,-4.4464770047507045
gp30,b0_rot270,-5909.628700625908,-4.961993388616082,-5904.666707237292,-4.446477004753433
gp30,b1_rot0,-5886.713833482678,-14.480814572486732,-5872.233018910191,27.98721132234732
gp30,b1_rot90,-5886.713833487834,-14.480814572486732,-5872.233018915347,27.987211317191395
gp30,b1_rot180,-5886.713833487174,-14.480814572486722,-5872.233018914688,27.98721131785078
gp30,b1_rot270,-5886.71383348379,-14.480814572486732,-5872.233018911304,27.98721132123501
gp31,b0_rot0,-5909.628700625908,-4.961993388616078,-5904.666707237292,-4.446477004753433
gp31,b0_rot90,-5909.6287006259045,-4.961993388616078,-5904.666707237288,-4.446477004749795
gp31,b0_rot180,-5909.628700623616,-4.9619933886160865,-5904.666707235,-4.446477002461506
gp31,b0_rot270,-5909.628700623613,-4.961993388616073,-5904.666707234997,-4.446477002458778
gp31,b1_rot0,-5886.713833474846,-14.480814572486732,-5872.23301890236,27.98721133017898
gp31,b1_rot90,-5886.713833483925,-14.480814572486732,-5872.233018911438,27.987211321100403
gp31,b1_rot180,-5886.713833485323,-14.480814572486722,-5872.233018912837,27.9872113197016
gp31,b1_rot270,-5886.713833480445,-14.480814572486722,-5872.2330189079585,27.98721132458013
gp32,b0_rot0,-5909.628700625905,-4.961993388616082,-5904.666707237289,-4.4464770047507045
gp32,b0_rot90,-5909.6287006236125,-4.961993388616082,-5904.6667072349965,-4.446477002457868
gp32,b0_rot180,-5909.628700623616,-4.961993388616082,-5904.666707235,-4.446477002461506
gp32,b0_rot270,-5909.628700625908,-4.961993388616082,-5904.666707237292,-4.446477004753433
gp32,b1_rot0,-5886.713833485899,-14.480814572486732,-5872.233018913413,27.98721131912589
gp32,b1_rot90,-5886.713833486179,-14.480814572486732,-5872.233018913693,27.987211318845766
gp32,b1_rot180,-5886.713833481571,-14.480814572486732,-5872.233018909084,27.987211323454176
gp32,b1_rot270,-5886.713833478201,-14.480814572486732,-5872.233018905715,27.987211326823854
gp33,b0_rot0,-5909.628700623613,-4.961993388616078,-5904.666707234997,-4.446477002458778
gp33,b0_rot90,-5909.628700625904,-4.961993388616078,-5904.6667072372875,-4.4464770047488855
gp33,b0_rot180,-5909.628700625902,-4.9619933886160865,-5904.666707237286,-4.4464770047470665
gp33,b0_rot270,-5909.628700623615,-4.961993388616078,-5904.666707234999,-4.446477002460597
gp33,b1_rot0,-5886.713833485969,-14.480814572486732,-5872.233018913483,27.98721131905586
gp33,b1_rot90,-5886.713833485993,-14.480814572486732,-5872.233018913506,27.987211319032212
gp33,b1_rot180,-5886.713833488294,-14.480814572486732,-5872.233018915807,27.98721131673119
gp33,b1_rot270,-5886.713833487412,-14.480814572486732,-5872.233018914925,27.9872113176134
gp34,b0_rot0,-5909.628700623618,-4.961993388616082,-5904.666707235002,-4.446477002463325
gp34,b0_rot90,-5909.628700625905,-4.961993388616082,-5904.666707237289,-4.4464770047507045
gp34,b0_rot180,-5909.6287006259045,-4.961993388616082,-5904.666707237288,-4.446477004749795
gp34,b0_rot270,-5909.628700623616,-4.9619933886160865,-5904.666707235,-4.446477002461506
gp34,b1_rot0,-5886.713833482004,-14.480814572486732,-5872.233018909517,27.987211323021256
gp34,b1_rot90,-5886.713833479201,-14.480814572486732,-5872.233018906714,27.98721132582432
gp34,b1_rot180,-5886.713833486401,-14.480814572486732,-5872.233018913915,27.98721131862385
gp34,b1_rot270,-5886.713833486429,-14.480814572486722,-5872.233018913943,27.987211318595655
gp35,b0_rot0,-5909.628700625908,-4.961993388616078,-5904.666707237292,-4.446477004753433
gp35,b0_rot90,-5909.628700623616,-4.961993388616073,-5904.666707235,-4.446477002461506
gp35,b0_rot180,-5909.628700623613,-4.961993388616082,-5904.666707234997,-4.446477002458778
gp35,b0_rot270,-5909.6287006259045,-4.961993388616078,-5904.666707237288,-4.446477004749795
gp35,b1_rot0,-5886.71383348816,-14.480814572486732,-5872.233018915674,27.987211316864887
gp35,b1_rot90,-5886.713833487343,-14.480814572486732,-5872.233018914857,27.987211317681613
gp35,b1_rot180,-5886.713833484482,-14.480814572486732,-5872.233018911996,27.987211320542883
gp35,b1_rot270,-5886.713833483827,-14.480814572486722,-5872.233018911341,27.98721132119772
gp36,b0_rot0,-5909.628700625905,-4.961993388616082,-5904.666707237289,-4.4464770047507045
gp36,b0_rot90,-5909.628700625906,-4.961993388616082,-5904.66670723729,-4.446477004751614
gp36,b0_rot180,-5909.628700623616,-4.9619933886160865,-5904.666707235,-4.446477002461506
gp36,b0_rot270,-5909.628700623615,-4.961993388616082,-5904.666707234999,-4.446477002460597
gp36,b1_rot0,-5886.713833485453,-14.480814572486732,-5872.233018912966,27.987211319572452
gp36,b1_rot90,-5886.713833480575,-14.480814572486732,-5872.2330189080885,27.987211324450072
gp36,b1_rot180,-5886.713833475377,-14.480814572486732,-5872.233018902891,27.987211329647835
gp36,b1_rot270,-5886.713833484276,-14.480814572486741,-5872.233018911789,27.98721132074934
