file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p25.json,gp33_b0_rot0,-13.723802068037,-13.833884961465,-8.641836148936,-5.068020545683,-8.75084732815587,-69.07800637211102,-75.82885370026689,0.160478859981849
tb_lite_results_shiftn0p25.json,gp70_b0_rot0,-13.722505369089,-13.834290516542,-8.641836148936,-5.068020545683,-7.93715706799541,-70.14618609308475,-76.08334316108017,0.24658117327087153
tb_lite_results_shiftn0p25.json,gp70_b0_rot270,-13.722456825579,-13.834121555773,-8.641836148936,-5.068020545683,-7.906695578579274,-70.07062317930712,-75.9773187578864,0.2061785502926887
tb_lite_results_shiftn0p25.json,gp61_b0_rot270,-13.723890969287,-13.834372212504,-8.641836148936,-5.068020545683,-8.80663366264257,-69.32797444985668,-76.13460811249925,0.2688669297142821
tb_lite_results_shiftn0p2.json,gp33_b0_rot0,-13.723939939492,-13.833593800926,-8.641836148936,-5.068020545683,-8.837362907012158,-68.80878493458758,-75.64614784159974,0.11789448674030861
---,---,---,---,---,---,---,---,---,-75.98288355707992
