file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p2.json,gp370_b0_rot0,-28.835822047745,-28.932321092493,-23.755884214614,-5.068020545683,-7.478205129208162,-60.554019070773066,-66.03222419998123,0.2989705368843849
tb_lite_results_shiftn0p2.json,gp347_b0_rot90,-28.834399482919,-28.93022457571,-23.755884214614,-5.068020545683,-6.585532897809167,-60.13110815218723,-64.7166410499964,0.03245631229520414
tb_lite_results_shiftn0p15.json,gp347_b0_rot90,-28.834415930169,-28.931147429927,-23.755884214614,-5.068020545683,-6.595853695210076,-60.6998866816431,-65.29574037685317,0.08625453925628951
tb_lite_results_shiftn0p2.json,gp404_b0_rot0,-28.835792656985,-28.932755969631,-23.755884214614,-5.068020545683,-7.459762162790226,-60.84535135517903,-66.30511351796925,0.4738683092458027
tb_lite_results_shiftn0p2.json,gp416_b0_rot0,-28.835655917242,-28.931363638344,-23.755884214614,-5.068020545683,-7.373956743400811,-60.057456360994,-65.4314131043948,0.10845030231831887
---,---,---,---,---,---,---,---,---,-65.99015560435507
