file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_original.json,gp455_b0_rot270,-37.487062954665,-37.568591864062,-32.415428609795,-5.068020545683,-2.267691514034486,-51.160124406802616,-51.427815920837105,0.25909917914235764
tb_lite_results_shiftn0p05.json,gp455_b0_rot270,-37.487119979213,-37.568127014169,-32.415428609795,-5.068020545683,-2.3034749311248928,-50.832643498205954,-51.13611842933085,0.15836174367058609
tb_lite_results_shiftn0p1.json,gp455_b0_rot270,-37.487072928513,-37.568801985037,-32.415428609795,-5.068020545683,-2.273950193420198,-51.28571853031696,-51.55966872373716,0.323679220859014
tb_lite_results_original.json,gp461_b0_rot0,-37.487006738193,-37.568242484764,-32.415428609795,-5.068020545683,-2.2324151719083676,-50.97616209501946,-51.208577266927826,0.17896288644084288
tb_lite_results_shiftn0p15.json,gp455_b0_rot270,-37.487079211931,-37.567481055316,-32.415428609795,-5.068020545683,-2.277893094763255,-50.45288034068089,-50.73077343544415,0.07989696988719931
---,---,---,---,---,---,---,---,---,-51.329373045180056
