file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p15.json,gp280_b0_rot270,-18.543083048013,-18.650911404313,-13.464336326104,-5.068020545683,-6.730772117400495,-67.66326403345711,-72.3940361508576,0.2294740934764597
tb_lite_results_shiftn0p15.json,gp252_b0_rot90,-18.542969781318,-18.650410645893,-13.464336325782,-5.068020545683,-6.659696448946252,-67.42010948859397,-72.07980593754021,0.13502099365453207
tb_lite_results_shiftn0p2.json,gp280_b0_rot270,-18.543080240282,-18.651552317038,-13.464336326104,-5.068020545683,-6.729010240928047,-68.06720441308173,-72.79621465400977,0.45241039483759765
tb_lite_results_shiftn0p15.json,gp281_b0_rot180,-18.543434690238,-18.649897828186,-13.464336326104,-5.068020545683,-6.95143077836945,-66.80657723061007,-71.75800800897953,0.0784371422596021
tb_lite_results_shiftn0p1.json,gp280_b0_rot270,-18.543083219711,-18.650170125959,-13.464336326104,-5.068020545683,-6.730879859441777,-67.19799745277622,-71.92887731221799,0.10465737577180842
---,---,---,---,---,---,---,---,---,-72.4349876774108
