file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p2.json,gp45_b0_rot270,-13.399157039878,-13.499222282911,-8.315777563715,-5.068020545683,-9.63786710657413,-62.79184059039411,-70.42970769696824,0.10069174797878169
tb_lite_results_shiftn0p25.json,gp45_b0_rot270,-13.399162751023,-13.499231815756,-8.315777563715,-5.068020545683,-9.641450901462235,-62.794238741539424,-70.43568964300167,0.1017135183988427
tb_lite_results_shiftn0p15.json,gp45_b0_rot270,-13.399086273355,-13.500246113246,-8.315777563715,-5.068020545683,-9.593460476492522,-63.47870997016171,-71.07217044665423,0.29779841452391775
tb_lite_results_shiftn0p2.json,gp36_b0_rot90,-13.399036988275,-13.499643685648,-8.315777563715,-5.068020545683,-9.562533645227209,-63.13160806183343,-70.69414170706064,0.15733500928609104
tb_lite_results_shiftn0p2.json,gp75_b0_rot0,-13.399279728393,-13.500378055514,-8.315777563715,-5.068020545683,-9.71485525393262,-63.44011015337213,-71.15496540730476,0.34246130981236683
---,---,---,---,---,---,---,---,---,-70.91161796286015
