file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p2.json,gp868_b0_rot270,-27.764845319242,-27.869136999802,-22.681309515929,-5.068020545683,-9.735963800142382,-65.44396817652465,-73.17993197666704,0.13189403409285294
tb_lite_results_shiftn0p25.json,gp868_b0_rot270,-27.765034003389,-27.86924607733,-22.681309515929,-5.068020545683,-9.854364800543332,-65.39401430664267,-73.24837910718601,0.14804619523781082
tb_lite_results_shiftn0p2.json,gp841_b0_rot270,-27.764717700211,-27.869637333432,-22.681309515929,-5.068020545683,-9.655881709619855,-65.83801412287528,-73.49389583249513,0.2240589381486924
tb_lite_results_shiftn0p2.json,gp856_b0_rot0,-27.764372450793,-27.869680994975,-22.681309515929,-5.068020545683,-9.43923459257991,-66.08205925110144,-73.52129384368135,0.23466329075174708
tb_lite_results_shiftn0p25.json,gp841_b0_rot270,-27.764706515165,-27.869782647076,-22.681309515929,-5.068020545683,-9.64886299258801,-65.93621845934072,-73.58508145192873,0.26133754176889673
---,---,---,---,---,---,---,---,---,-73.44639758903381
