file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p1.json,gp236_b0_rot180,-26.99595159419,-27.086921612653,-21.923923454083,-5.068020545683,-2.5148015694105856,-57.084505315698955,-57.59930688510954,0.16958386809278939
tb_lite_results_shiftn0p1.json,gp237_b0_rot0,-26.995644475181,-27.086936366801,-21.923923454083,-5.068020545683,-2.3220816271912796,-57.28648361857629,-57.60856524576757,0.17225465337949825
tb_lite_results_shiftn0p15.json,gp236_b0_rot180,-26.995950910662,-27.086888424453,-21.923923454083,-5.068020545683,-2.5143726494385685,-57.06410834147732,-57.57848099091589,0.16372652693513012
tb_lite_results_shiftn0p1.json,gp236_b0_rot90,-26.994894499731,-27.087277472854,-21.923923454083,-5.068020545683,-1.851465282537929,-57.971147081441536,-57.82261236397947,0.2472114613970055
tb_lite_results_shiftn0p1.json,gp236_b0_rot270,-26.994895011885,-27.087277518795,-21.923923454083,-5.068020545683,-1.8517866637818194,-57.9708545285866,-57.82264119236842,0.2472234901955766
---,---,---,---,---,---,---,---,---,-57.70790909017924
