file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p2.json,gp282_b0_rot180,-18.230530520494,-18.330041614857,-13.148872303082,-5.068020545683,-8.557761748993403,-62.44410731263106,-69.00186906162446,0.15005343107779587
tb_lite_results_shiftn0p15.json,gp282_b0_rot180,-18.230444308954,-18.330034842192,-13.148872303082,-5.068020545683,-8.503663231738852,-62.49395592164445,-68.9976191533833,0.14898094534313758
tb_lite_results_shiftn0p15.json,gp288_b0_rot180,-18.230558656248,-18.33095123724,-13.148872303082,-5.068020545683,-8.57541718785044,-62.997248105709275,-69.57266529355971,0.39322625318530896
tb_lite_results_shiftn0p2.json,gp260_b0_rot180,-18.230004433486,-18.330071847554,-13.148872303082,-5.068020545683,-8.227637416689392,-62.7932029343969,-69.02084035108629,0.15493587284047222
tb_lite_results_shiftn0p15.json,gp260_b0_rot180,-18.230288464504,-18.33005876252,-13.148872303082,-5.068020545683,-8.405869436764325,-62.60675993772257,-69.01262937448689,0.1528034975532855
---,---,---,---,---,---,---,---,---,-69.2302715166251
