file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p25.json,gp186_b0_rot0,-19.229836422909,-19.33929607261,-14.141990638487,-5.068020545683,-12.44051573587066,-68.68691532422584,-79.1274310600965,0.14357173081724423
tb_lite_results_shiftn0p25.json,gp186_b0_rot90,-19.230094758552,-19.339944429735,-14.141990638487,-5.068020545683,-12.602623676874043,-68.93165731437283,-79.53428099124687,0.2852935997597557
tb_lite_results_shiftn0p2.json,gp186_b0_rot0,-19.229761289928,-19.339434783263,-14.141990638487,-5.068020545683,-12.393369114096727,-68.8211041291516,-79.21447324324834,0.16629197989509475
tb_lite_results_shiftn0p2.json,gp186_b0_rot90,-19.229894193356,-19.339547227352,-14.141990638487,-5.068020545683,-12.47676721129743,-68.80826570979626,-79.28503292109369,0.18732334789636096
tb_lite_results_shiftn0p3.json,gp186_b0_rot90,-19.2299031994,-19.339688337308,-14.141990638487,-5.068020545683,-12.482418584961481,-68.89116210351239,-79.37358068847387,0.2175193416315444
---,---,---,---,---,---,---,---,---,-79.3410419718313
