file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p3.json,gp19_b0_rot90,-10.227742760816,-10.337514767939,-5.12803648423,-5.068020545683,-19.883081313210543,-68.88292241774685,-86.7660037309574,0.16969495858010306
tb_lite_results_shiftn0p3.json,gp2_b0_rot180,-10.227752369337,-10.337745933362,-5.12803648423,-5.068020545683,-19.8891107466154,-69.02195136776278,-86.91106211437818,0.21676915345747733
tb_lite_results_shiftn0p3.json,gp19_b0_rot180,-10.227742509844,-10.337701767188,-5.12803648423,-5.068020545683,-19.88292382602147,-69.00042361667626,-86.88334744269773,0.20686284088544477
tb_lite_results_shiftn0p3.json,gp21_b0_rot270,-10.227760835109,-10.337338199596,-5.12803648423,-5.068020545683,-19.894423094737267,-68.76078241187201,-86.65520550660928,0.1407515777157216
tb_lite_results_shiftn0p3.json,gp19_b0_rot0,-10.22773400712,-10.337938894721,-5.12803648423,-5.068020545683,-19.877588290187795,-69.15455881361605,-87.03214710380385,0.2659214693612534
---,---,---,---,---,---,---,---,---,-86.87690017938709
