file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p2.json,gp280_b0_rot0,-15.086799965307,-15.188271940905,-10.004719354893,-5.068020545683,-8.822817159284988,-63.67457793552582,-70.4973950948108,0.045257116627237554
tb_lite_results_shiftn0p15.json,gp280_b0_rot0,-15.086849184887,-15.188351941575,-10.004719354893,-5.068020545683,-8.853702888711858,-63.693893346529784,-70.54759623524164,0.049258884805913165
tb_lite_results_shiftn0p2.json,gp325_b0_rot0,-15.086818095041,-15.190095539231,-10.004719354893,-5.068020545683,-8.834193730537772,-64.8075257262231,-71.64171945676088,0.31223567762706117
tb_lite_results_shiftn0p15.json,gp325_b0_rot0,-15.086950099608,-15.190416273607,-10.004719354893,-5.068020545683,-8.917027784371319,-64.92595537993803,-71.84298316430935,0.4385406534722325
tb_lite_results_shiftn0p1.json,gp280_b0_rot0,-15.086806797762,-15.189432512379,-10.004719354893,-5.068020545683,-8.827104586289579,-64.39855955359904,-71.22566413988862,0.15470766746755568
---,---,---,---,---,---,---,---,---,-71.5599307161382
