file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p1.json,gp404_b0_rot0,-18.399684532694,-18.496990905555,-13.326014763324,-5.068020545683,-3.544938706605435,-61.060624727632394,-62.60556343423782,0.24950074336676162
tb_lite_results_shiftn0p05.json,gp404_b0_rot0,-18.399632528061,-18.496834692209,-13.326014763324,-5.068020545683,-3.5123053313574,-60.995232822345855,-62.50753815370325,0.21145541391762865
tb_lite_results_shiftn0p15.json,gp404_b0_rot0,-18.398808156538,-18.495798008631,-13.326014763324,-5.068020545683,-2.995004781329751,-60.862005097026014,-61.85700987835577,0.0705307068013017
tb_lite_results_shiftn0p1.json,gp404_b0_rot90,-18.399249955982,-18.495177797754,-13.326014763324,-5.068020545683,-3.2722379086354585,-60.19558406250552,-61.46782197114098,0.03656802435984129
tb_lite_results_shiftn0p05.json,gp404_b0_rot90,-18.399606849045,-18.497509109145,-13.326014763324,-5.068020545683,-3.4961915177052587,-61.43454933309071,-62.93074085079597,0.43194511155446674
---,---,---,---,---,---,---,---,---,-62.630893284525484
