file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p15.json,gp526_b0_rot180,-27.807283666556,-27.898348172019,-22.730472191488,-5.068020545683,-5.516387307451081,-57.14379675858093,-60.660184066032016,0.15829280421768804
tb_lite_results_shiftn0p2.json,gp526_b0_rot180,-27.807342464955,-27.898981704415,-22.730472191488,-5.068020545683,-5.55328383200884,-57.504447514305745,-61.05773134631458,0.30964592911090905
tb_lite_results_shiftn0p1.json,gp526_b0_rot180,-27.807595933881,-27.898109094659,-22.730472191488,-5.068020545683,-5.7123378642947875,-56.79782300664108,-60.51016087093587,0.1228834508810152
tb_lite_results_shiftn0p15.json,gp513_b0_rot180,-27.807326353794,-27.898532723456,-22.730472191488,-5.068020545683,-5.543173933481463,-57.232817820232114,-60.775991753713576,0.19246368811673292
tb_lite_results_shiftn0p2.json,gp513_b0_rot180,-27.807512466395,-27.898644771459,-22.730472191488,-5.068020545683,-5.659961265622296,-57.186341618406026,-60.84630288402832,0.2167141276736548
---,---,---,---,---,---,---,---,---,-60.8274709470442
