file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p15.json,gp552_b0_rot180,-27.806799156411,-27.900266161688,-22.729709186157,-5.068020545683,-5.691145543124138,-58.651387014364246,-62.34253255748838,0.42075335866662433
tb_lite_results_shiftn0p15.json,gp570_b0_rot180,-27.806990706106,-27.898893216568,-22.729709186157,-5.068020545683,-5.811344700683763,-57.669652437498556,-61.48099713818232,0.09829189234739723
tb_lite_results_shiftn0p2.json,gp552_b0_rot180,-27.806941679847,-27.899501583466,-22.729709186157,-5.068020545683,-5.780580281925457,-58.08217256005599,-61.86275284198145,0.18721756457336797
tb_lite_results_shiftn0p1.json,gp552_b0_rot180,-27.806945183234,-27.899541034719,-22.729709186157,-5.068020545683,-5.78277868879792,-58.10473016950145,-61.88750885829937,0.1952058725285733
tb_lite_results_shiftn0p2.json,gp570_b0_rot180,-27.807289265976,-27.89889551362,-22.729709186157,-5.068020545683,-5.998693706147623,-57.48374485283994,-61.48243855898757,0.09853131188403705
---,---,---,---,---,---,---,---,---,-61.99445793269432
