file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p1.json,gp159_b0_rot270,-21.325545980457,-21.428606802378,-16.247960970053,-5.068020545683,-6.001787692610288,-64.67159330282358,-68.67338099543387,0.1830995270104719
tb_lite_results_shiftn0p05.json,gp159_b0_rot270,-21.325556772136,-21.428664448934,-16.247960970053,-5.068020545683,-6.008559568307467,-64.70099515983641,-68.70955472814387,0.19462685039825653
tb_lite_results_shiftn0p15.json,gp159_b0_rot270,-21.32561843165,-21.428597145619,-16.247960970053,-5.068020545683,-6.04725146827778,-64.62006982397416,-68.66732129225194,0.1812364007713294
tb_lite_results_shiftn0p1.json,gp314_b0_rot90,-21.325553376775,-21.428813088143,-16.247960970053,-5.068020545683,-6.006428948722608,-64.7963982208204,-68.80282716954301,0.2278095541364458
tb_lite_results_original.json,gp159_b0_rot270,-21.32554096272,-21.428750630712,-16.247960970053,-5.068020545683,-5.998639017483635,-64.76499555199028,-68.76363456947392,0.21322766768349646
---,---,---,---,---,---,---,---,---,-68.72805677060506
