file,gp,G_complex_gas,G_complex_solv,G_solute_gas,G_solvent_gas,dG_gas_kcal,dG_solv_kcal,dG_final_kcal,boltz_weight
tb_lite_results_shiftn0p15.json,gp159_b0_rot270,-20.167758768703,-20.270274052915,-15.089398613366,-5.068020545683,-6.488198114370941,-64.32926348058795,-68.8174615949589,0.12580248115557163
tb_lite_results_shiftn0p2.json,gp159_b0_rot270,-20.167818348048,-20.270683269412,-15.089398613366,-5.068020545683,-6.525584689574082,-64.54866394020148,-69.07424862977555,0.19405079411935647
tb_lite_results_shiftn0p2.json,gp149_b0_rot270,-20.167951064326,-20.271043456029,-15.089398613366,-5.068020545683,-6.608865348465193,-64.69140362515616,-69.30026897362134,0.2841773756719467
tb_lite_results_shiftn0p15.json,gp149_b0_rot270,-20.167833263904,-20.270026764951,-15.089398613366,-5.068020545683,-6.534944523456296,-64.12734164850254,-68.66228617195884,0.09681548449848072
tb_lite_results_shiftn0p2.json,gp158_b0_rot270,-20.167874391189,-20.271091948861,-15.089398613366,-5.068020545683,-6.560752264938141,-64.76994639719906,-69.33069866213721,0.2991538645546445
---,---,---,---,---,---,---,---,---,-69.14300772512705
